Filename,Avg_nDCG@5,Avg_nDCG@10,Avg_nDCG@50,Avg_nDCG
output-file@Top_20@Lambda_0.15,0.4198061853595210,0.41759754419238700,0.43717637575105400,0.424860035100987
output-file@Top_15@Lambda_0.15,0.41880370034325100,0.41138525527583400,0.43880535707486000,0.42299810423131500
output-file@Top_10@Lambda_0.15,0.41638093450388400,0.41175387481304800,0.43894050428428200,0.42235843786707100
output-file@Top_5@Lambda_0.15,0.41359895850496800,0.4054864649826880,0.43254220844337000,0.417209210643675
output-file@Top_15@Lambda_0.3,0.404331992664583,0.39736267206801000,0.4322001472243700,0.411298270652321
output-file@Top_10@Lambda_0.3,0.39895679650678200,0.397940983121353,0.43219936104517700,0.409699046891104
output-file@Top_20@Lambda_0.45,0.3996756380158940,0.40088251994208000,0.4241518513563240,0.408236669771433
output-file@Top_20@Lambda_0.3,0.3938330525271150,0.39654305949117200,0.42987677614851300,0.406750962722267
output-file@Top_15@Lambda_0.45,0.3889325933208400,0.39185027569146500,0.4205726616397310,0.400451843550679
output-file@Top_5@Lambda_0.3,0.3804044650273160,0.38009270937737400,0.41860623889236300,0.393034471099018
output-file@Top_10@Lambda_0.45,0.383253538542734,0.3759610354612250,0.41955714372606400,0.392923905910008
output-file@Top_20@Lambda_0.6,0.3570298088542310,0.3710914474262710,0.40034020323497900,0.376153819838494
output-file@Top_15@Lambda_0.6,0.3528450129867010,0.36611141828604500,0.4020151894090490,0.373657206893932
output-file@Top_10@Lambda_0.6,0.345562650394239,0.35649443139076500,0.40000801040298300,0.367355030729329
output-file@Top_5@Lambda_0.45,0.33763946277544700,0.3501564500156140,0.39441295911106100,0.360736290634041
output-file@Top_20@Lambda_0.75,0.3167884583454100,0.32687574722767900,0.3805790824319380,0.341414429335009
output-file@Top_5@Lambda_0.6,0.31122544021023900,0.331308830890826,0.3807594111407770,0.341097894080614
output-file@Top_15@Lambda_0.75,0.320295028467644,0.32409288720024800,0.3772431796371910,0.340543698435028
output-file@Top_10@Lambda_0.75,0.28867267405957900,0.30445318218673400,0.3707046130504860,0.321276823098933
output-file@Top_5@Lambda_0.75,0.2644328953131100,0.28760592899107300,0.34968784350638000,0.300575555936854
output-file@Top_10@Lambda_0.9,0.24419502964711000,0.27322971848037900,0.34615766509633100,0.28786080440794000
output-file@Top_15@Lambda_0.9,0.2456673508972850,0.2637464104330690,0.3440838199121200,0.2844991937474910
output-file@Top_20@Lambda_0.9,0.2411432546842020,0.26352038190031700,0.33772248193466000,0.280795372839726
output-file@Top_5@Lambda_0.9,0.2222779900677290,0.2595826553874110,0.3288917959923960,0.2702508138158450
