Filename,Avg_nDCG@5,Avg_nDCG@10,Avg_nDCG@50,Avg_nDCG
output-file_Skip_win_5@mu_750@Top_15@LAMBDA_0.15,0.4457650774936070,0.43817196578542600,0.4523426925212010,0.445426578600078
output-file_Skip_win_5@mu_1250@Top_20@LAMBDA_0.15,0.4447736293462410,0.43576574751759000,0.45272859965344000,0.44442265883909
output-file_Skip_win_9@mu_1000@Top_10@LAMBDA_0.15,0.4418502429376640,0.44050757453904800,0.44958301083548600,0.443980276104066
output-file_Skip_win_5@mu_750@Top_10@LAMBDA_0.15,0.44820754778141400,0.43645098095452200,0.44692702197086000,0.44386185023559900
output-file_Skip_win_7@mu_1250@Top_20@LAMBDA_0.15,0.4452487555155880,0.4390917239782650,0.44635097378768100,0.443563817760511
output-file_Skip_win_7@mu_1000@Top_5@LAMBDA_0.15,0.4432492530868930,0.4343769782986100,0.4530378989096170,0.4435547100983730
output-file_Skip_win_7@mu_750@Top_10@LAMBDA_0.15,0.44388111919439100,0.44014824154978100,0.44604510730737900,0.44335815601718400
output-file_Skip_win_7@mu_750@Top_5@LAMBDA_0.45,0.44384099249537700,0.4293728887233480,0.4567651425498150,0.44332634125618
output-file_Skip_win_5@mu_1000@Top_15@LAMBDA_0.15,0.4448193188801520,0.4357774083282830,0.4474344269258830,0.4426770513781060
output-file_Skip_win_9@mu_750@Top_5@LAMBDA_0.15,0.44301127315992900,0.43402856318845300,0.45090781829319000,0.44264921821385700
output-file_Skip_win_5@mu_1000@Top_10@LAMBDA_0.15,0.4441284930658720,0.4382144129978860,0.44542546587250300,0.442589457312087
output-file_Skip_win_7@mu_1000@Top_15@LAMBDA_0.3,0.4400808372150420,0.4382336284187120,0.4490739667671470,0.4424628108003000
output-file_Skip_win_7@mu_500@Top_5@LAMBDA_0.3,0.4375010630327110,0.4293400182838820,0.45995139471438200,0.442264158676992
output-file_CBOW_win_5@mu_1000@Top_10@LAMBDA_0.15,0.4430234639350680,0.4358643905440250,0.44752599489520400,0.442137949791432
output-file_Skip_win_7@mu_1250@Top_15@LAMBDA_0.15,0.4450953827482860,0.43602545914881100,0.44501196628965500,0.442044269395584
output-file_CBOW_win_7@mu_1000@Top_15@LAMBDA_0.15,0.441373301905912,0.435966570728588,0.44846493526735000,0.441934935967283
output-file_Skip_win_5@mu_1250@Top_5@LAMBDA_0.15,0.44092145386282200,0.43235589084365100,0.4516630424772290,0.441646795727901
output-file_CBOW_win_7@mu_1000@Top_10@LAMBDA_0.15,0.4426105952592250,0.43418337290587100,0.4480371471523660,0.441610371772487
output-file_Skip_win_9@mu_1000@Top_5@LAMBDA_0.15,0.4409485634034700,0.4318278247923770,0.4520232315002600,0.4415998732320360
output-file_CBOW_win_9@mu_1000@Top_10@LAMBDA_0.15,0.4407883025159980,0.43598282738305400,0.44790285771416700,0.441557995871073
